state,title,publication_date,report_type,sector,audit_year,detail_url,pdf_url,pdf_size_mb,scraped_at,report_no
Sikkim,"Audit Report on Social, Economic, Revenue & General Sectors 2014-15 Sikkim",,Compliance,Social Welfare,2014-15,https://cag.gov.in/en/audit-report/details/21250,/webroot/uploads/download_audit_report/2016/Sikkim_Social_Economic_Revenue_and_General_Sectors_Report_1_2016_0.pdf,,2026-07-22T13:14:37Z,
Sikkim,State Finances Audit Report 2014-15 Sikkim,,Financial,Finance,2014-15,https://cag.gov.in/en/audit-report/details/21240,/webroot/uploads/download_audit_report/2016/Sikkim_State_Finances_Report_2015_0.pdf,,2026-07-22T13:14:37Z,
Sikkim,State Finances Audit Report 2013-14 Sikkim,,Financial,Finance,2013-14,https://cag.gov.in/en/audit-report/details/8973,/webroot/uploads/download_audit_report/2015/Sikkim_State_Finance_2014.pdf,,2026-07-22T13:15:28Z,
Sikkim,"Audit Report on Social, Economic, Revenue & General Sectors 2013-14 Sikkim",,Compliance,"Art, Culture and Sports",2013-14,https://cag.gov.in/en/audit-report/details/8882,/webroot/uploads/download_audit_report/2015/Sikkim_Social_Economic_Revenue_General_1_2015.pdf,,2026-07-22T13:15:28Z,
Sikkim,State Finances Audit Report 2012-13 Sikkim,,Financial,Finance,2012-13,https://cag.gov.in/en/audit-report/details/8820,/webroot/uploads/download_audit_report/2014/Sikkim_State_Finance_2012_13.pdf,,2026-07-22T13:16:02Z,
Sikkim,"Audit Report on Social, Economic, Revenue & General Sectors 2012-13 Sikkim",,Compliance,Finance,2012-13,https://cag.gov.in/en/audit-report/details/8728,/webroot/uploads/download_audit_report/2014/Sikkim_Social_Economic_Revenue_General_1_2014.pdf,,2026-07-22T13:16:02Z,
Sikkim,"Audit Report on Social, Economic, Revenue & General Sectors 2011-12 Sikkim",,Compliance,Environment and Sustainable Development,2011-12,https://cag.gov.in/en/audit-report/details/8571,/webroot/uploads/download_audit_report/2013/Sikkim_Autonomous_Commercial_1_2013.pdf,,2026-07-22T13:30:56Z,
Sikkim,State Finances Audit Report 2011-12 Sikkim,,Financial,Finance,2011-12,https://cag.gov.in/en/audit-report/details/8406,/webroot/uploads/download_audit_report/2012/Sikkim_State_Finance_2012.pdf,,2026-07-22T13:41:58Z,
Sikkim,State Finances Audit Report 2010-11 Sikkim,,Financial,Finance,2010-11,https://cag.gov.in/en/audit-report/details/8331,/webroot/uploads/download_audit_report/2011/Sikkim_State_Finance_2011.pdf,,2026-07-22T13:42:32Z,
Sikkim,Audit Report on Impact of Implementation of Developmental Schemes in South District 2010-11 Sikkim,,Compliance,Local Bodies,2010-11,https://cag.gov.in/en/audit-report/details/8233,/webroot/uploads/download_audit_report/2011/Sikkim_Development_Schemes_3_2010-11dist.pdf,,2026-07-22T13:42:32Z,
Sikkim,Audit Report 2010-11 Sikkim,,,Local Bodies,2010-11,https://cag.gov.in/en/audit-report/details/8109,/webroot/uploads/download_audit_report/2011/Sikkim_Civil_2011.pdf,,2026-07-22T13:42:38Z,
Sikkim,State Finances Audit Report 2009-10 Sikkim,,Financial,Finance,2009-10,https://cag.gov.in/en/audit-report/details/7996,/webroot/uploads/download_audit_report/2010/SFAR 2009-10 Sikkim-062c7b6ae4ac711.24641726.pdf,,2026-07-22T13:43:25Z,
