seq,candidate_name,notes
125,BALJINDER SODHI ADVOCATE,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
126,BALJIT SINGH BADBAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
127,BALJIT SINGH JALAL USHMAN,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
128,BALJIT SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
129,BALJIT SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
130,BALJIT SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
131,BALJIT SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
132,BALKARAN MOGA,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
133,BALKAR SINGH SIDHU,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
134,BALKAR SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
135,BALKAR SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
136,BALKAR SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
137,BALKAR SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
138,BALRAJ SINGH KHALSA,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
139,BALVAN SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
140,BALVINDER SINGH BAINS,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
141,BALVIR RAM,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
142,BALVIR SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
143,BALWANT SINGH,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
144,BALWANT SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pan; no_pending_cases_count
145,BALWANT SINGH,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
146,BALWINDER KAUR,name_from_filename (Part A regex missed); movable_self_only; no_estamp_cert; no_pending_cases_count
147,BALWINDER KAUR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
148,BALWINDER KUMAR,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
149,BALWINDER SEKHON,name_from_filename (Part A regex missed); no_estamp_cert; no_pan; no_pending_cases_count; no_movable_totals
150,BALWINDER SINGH DHALIWAL,name_from_filename (Part A regex missed); no_estamp_cert; no_pending_cases_count; no_movable_totals
