constituency,rank,rank_reason,politician_id,candidate_name,party,won,myneta_total_assets,myneta_criminal_cases,myneta_education,has_eci_match,eci_quality_status,eci_fields_present
MATIALA,3,party_priority:INC,136769,Raghvinder Singh,INC,0,244280358,1,Graduate,True,NEEDS_REVIEW,7
MEHRAULI,1 (winner),winner,136178,Gajender Singh Yadav,BJP,1,301102326,0,Post Graduate,True,NEEDS_REVIEW,8
MEHRAULI,2,party_priority:AAP,136642,Mahender Chaudhary,AAP,0,12587137,0,Graduate Professional,True,NEEDS_REVIEW,8
MEHRAULI,3,party_priority:INC,136765,Pushpa Singh,INC,0,3093865,1,12th Pass,True,NEEDS_REVIEW,3
MODEL TOWN,1,party_priority:BJP,136461,Ashok Goel,BJP,0,263039120,0,Graduate Professional,True,NEEDS_REVIEW,4
MODEL TOWN,2,party_priority:AAP,136418,Akhilesh Pati Tripathi,AAP,0,6724979,10,Post Graduate,True,NEEDS_REVIEW,11
MODEL TOWN,3,party_priority:INC,136619,Kanwar Karan Singh,INC,0,99649359,1,12th Pass,True,NEEDS_REVIEW,7
MOTI NAGAR,1 (winner),winner,136179,Harish Khurana,BJP,1,27046864,1,Graduate,True,NEEDS_REVIEW,9
MOTI NAGAR,2,party_priority:AAP,136885,Shivcharan Goel,AAP,0,241986928,0,12th Pass,True,NEEDS_REVIEW,11
MOTI NAGAR,3,party_priority:INC,136781,Rajender Singh,INC,0,55021828,0,10th Pass,True,NEEDS_REVIEW,8
MUNDKA,1 (winner),winner,136180,Gajender Drall,BJP,1,127169681,0,Graduate,True,NEEDS_REVIEW,8
MUNDKA,2,party_priority:AAP,136600,Jasbir Karala,AAP,0,43156239,0,12th Pass,True,NEEDS_REVIEW,9
MUNDKA,3,party_priority:INC,136529,Dharampal Lakra,INC,0,760144877,0,Others,True,NEEDS_REVIEW,9
MUSTAFABAD,1 (winner),winner,136181,Mohan Singh Bisht,BJP,1,78293737,0,12th Pass,True,NEEDS_REVIEW,8
MUSTAFABAD,2,party_priority:AAP,136411,Adeel Ahmad Khan,AAP,0,4938831,0,Graduate,True,NEEDS_REVIEW,6
MUSTAFABAD,3,party_priority:INC,136420,Ali Mehdi,INC,0,37956382,1,Graduate Professional,True,NEEDS_REVIEW,5
NAJAFGARH,1 (winner),winner,136182,Neelam Pahalwan,BJP,1,125010791,0,Post Graduate,True,NEEDS_REVIEW,8
NAJAFGARH,2,party_priority:AAP,136926,Tarun Kumar,AAP,0,26546659,1,10th Pass,True,NEEDS_REVIEW,5
NAJAFGARH,3,party_priority:INC,136922,Sushma Devi Yadav,INC,0,4954536,1,Post Graduate,True,NEEDS_REVIEW,8
NANGLOI JAT,1 (winner),winner,136183,Manoj Kumar Shokeen,BJP,1,131283303,0,12th Pass,True,NEEDS_REVIEW,7
NANGLOI JAT,2,party_priority:AAP,136768,Raghuvinder Shokeen,AAP,0,233030525,0,Graduate Professional,True,NEEDS_REVIEW,6
NANGLOI JAT,3,party_priority:INC,136831,Rohit Choudhary,INC,0,23095564,1,Graduate Professional,True,NEEDS_REVIEW,8
NERELA,1 (winner),winner,136184,Raj Karan Khatri,BJP,1,104411275,0,12th Pass,True,NEEDS_REVIEW,10
NERELA,2,party_priority:AAP,136873,Sharad Kumar,AAP,0,67878442,1,10th Pass,True,NEEDS_REVIEW,6
NERELA,3,party_priority:INC,136450,Aruna,INC,0,22772639,0,Post Graduate,True,NEEDS_REVIEW,7
NEW DELHI,1 (winner),winner,136185,Parvesh Sahib Singh,BJP,1,1156383180,1,Post Graduate,True,NEEDS_REVIEW,6
NEW DELHI,2,party_priority:AAP,136451,Arvind Kejriwal,AAP,0,42436504,15,Graduate Professional,True,NEEDS_REVIEW,3
NEW DELHI,3,party_priority:INC,136841,Sandeep Dikshit,INC,0,111381677,0,Post Graduate,True,NEEDS_REVIEW,5
OKHLA,1 (winner),winner,136186,Amanatullah Khan,AAP,1,18415626,19,12th Pass,True,NEEDS_REVIEW,6
OKHLA,2,party_priority:BJP,136653,Manish Chaudhary,BJP,0,83753407,0,Graduate,True,NEEDS_REVIEW,7
OKHLA,3,party_priority:INC,136446,Ariba Khan,INC,0,2111744,1,Graduate Professional,True,NEEDS_REVIEW,7
PALAM,1,party_priority:BJP,136631,Kuldeep Solanki,BJP,0,136242582,1,10th Pass,True,NEEDS_REVIEW,4
PALAM,2,party_priority:AAP,136607,Joginder Solanki,AAP,0,154248976,0,Graduate,True,NEEDS_REVIEW,9
PALAM,3,party_priority:INC,136649,Mange Ram,INC,0,74091817,1,Illiterate,True,NEEDS_REVIEW,9
PATEL NAGAR,1 (winner),winner,136187,Pravesh Ratn,AAP,1,15282007,0,Graduate,True,NEEDS_REVIEW,9
PATEL NAGAR,2,party_priority:BJP,136767,Raaj Kumar Anand,BJP,0,798529298,2,Post Graduate,True,NEEDS_REVIEW,8
PATEL NAGAR,3,party_priority:INC,136627,Krishna Tirath,INC,0,186106656,0,Graduate Professional,True,NEEDS_REVIEW,5
PATPARGANJ,1 (winner),winner,136188,Ravinder Singh Negi,BJP,1,17840741,0,Graduate,False,,
PATPARGANJ,2,party_priority:AAP,136473,Avadh Ojha,AAP,0,85907918,0,Graduate Professional,True,NEEDS_REVIEW,9
PATPARGANJ,3,party_priority:INC,136433,Anil Kumar,INC,0,38540745,7,Graduate Professional,True,NEEDS_REVIEW,6
R K PURAM,1 (winner),winner,136189,Anil Kumar Sharma,BJP,1,71300145,0,Graduate,True,NEEDS_REVIEW,7
R K PURAM,2,party_priority:AAP,136748,Pramila Tokas,AAP,0,732195667,2,12th Pass,True,NEEDS_REVIEW,6
R K PURAM,3,party_priority:INC,136957,Vishesh Kumar,INC,0,19098249,0,Post Graduate,True,NEEDS_REVIEW,9
RAJINDER NAGAR,1 (winner),winner,136190,Umang Bajaj,BJP,1,107563096,0,Post Graduate,True,NEEDS_REVIEW,8
RAJINDER NAGAR,2,party_priority:AAP,136547,Durgesh Pathak,AAP,0,1947576,4,Post Graduate,True,NEEDS_REVIEW,5
RAJINDER NAGAR,3,party_priority:BSP,136883,Shiv Prasad Verma,BSP,0,6817622,0,8th Pass,True,NEEDS_REVIEW,7
RAJOURI GARDEN,1 (winner),winner,136191,Manjinder Singh Sirsa,BJP,1,2488552444,5,12th Pass,True,NEEDS_REVIEW,8
RAJOURI GARDEN,2,party_priority:AAP,136401,A Dhanwati Chandela A,AAP,0,1099005522,0,10th Pass,True,NEEDS_REVIEW,10
RAJOURI GARDEN,3,party_priority:INC,136526,Dharam Pal Chandela,INC,0,61036079,0,12th Pass,True,NEEDS_REVIEW,7
RITHALA,1 (winner),winner,136192,Kulwant Rana,BJP,1,701125079,3,Graduate,True,NEEDS_REVIEW,7
RITHALA,2,party_priority:INC,136921,Sushant Mishra,INC,0,19420660,0,Graduate Professional,True,NEEDS_REVIEW,11
RITHALA,3,party_priority:BSP,136714,Neyaz Khan,BSP,0,4861000,0,8th Pass,True,NEEDS_REVIEW,5
ROHINI,1 (winner),winner,136193,Vijender Gupta,BJP,1,161028211,4,Post Graduate,True,NEEDS_REVIEW,8
ROHINI,2,party_priority:AAP,136731,Pardeep Mittal,AAP,0,4392451,3,12th Pass,True,NEEDS_REVIEW,2
ROHINI,3,party_priority:INC,136901,Sumesh Gupta,INC,0,22044295,0,8th Pass,True,NEEDS_REVIEW,5
ROHTAS NAGAR,1 (winner),winner,136194,Jitender Mahajan,BJP,1,25758304,3,Graduate,True,NEEDS_REVIEW,8
ROHTAS NAGAR,2,party_priority:AAP,136858,Sarita Singh,AAP,0,795524,1,Post Graduate,True,NEEDS_REVIEW,8
ROHTAS NAGAR,3,party_priority:INC,136918,Sureshvati,INC,0,18511299,0,10th Pass,True,NEEDS_REVIEW,3
SADAR BAZAR,1,party_priority:BJP,136658,Manoj Kumar Jindal,BJP,0,82099353,0,12th Pass,True,NEEDS_REVIEW,11
SADAR BAZAR,2,party_priority:AAP,136891,Som Dutt,AAP,0,2120795,1,Graduate,True,NEEDS_REVIEW,4
SADAR BAZAR,3,party_priority:INC,136431,Anil Bhardwaj,INC,0,102234994,1,Graduate,True,NEEDS_REVIEW,8
SANGAM VIHAR,1 (winner),winner,136195,Chandan Kumar Choudhary,BJP,1,39473899,5,Graduate,True,NEEDS_REVIEW,10
SANGAM VIHAR,2,party_priority:AAP,136540,Dinesh Mohaniya,AAP,0,7700166,4,Graduate Professional,True,NEEDS_REVIEW,11
SANGAM VIHAR,3,party_priority:INC,136576,Harsh Choudhary,INC,0,51016582,0,Post Graduate,True,NEEDS_REVIEW,5
SEELAM PUR,1 (winner),winner,136196,Chaudhary Zubair Ahmad,AAP,1,36925933,0,Graduate,True,NEEDS_REVIEW,9
